Senior Office Title,Value,Claim Date,Expenses Category,Details of Claim
Head of Strategy and Inclusion,13.10,01-Apr-2014,Travel Expense,Travel to and from Herts FRS for meeting to discuss recovery of costs for section 13/16 attendances
Head of Fire Safety,7.65,01-Apr-2014,Travel,"Wokefield Park, Reading- HQ"
Head of Technical and Service Support,5.00,02-Apr-2014,Travel Expense,"CBRN CPD event, Empress House, MPS."
Head of Technical and Service Support,5.50,02-Apr-2014,Subsistence,"CBRN CPD event, Empress House, MPS."
Deputy Commissioner,10.00,02-Apr-2014,Travel,HQ- Merton: Principal Officer cover for Industrial Action
Deputy Commissioner,3.60,02-Apr-2014,Travel,HQ- Merton: Principal Officer cover for Industrial Action
Head of Strategy and Inclusion,23.60,03-Apr-2014,Travel Expense,Travel to and from Essex FRS for meeting to discuss recovery of costs for section 13/16 attendances
Third Officer,3.50,03-Apr-2014,Travel,BASE - BHQ - PLUMSTEAD FS - BASE (STATION VISIT)
Head of Technical and Service Support,6.50,03-Apr-2014,Subsistence,"CBRN CPD event, Empress House, MPS."
Head of Technical and Service Support,5.00,03-Apr-2014,Travel Expense,"CBRN CPD event, Empress House, MPS.  "
Third Officer,1.96,05-Apr-2014,Travel,BASE - DAGENHAM FS - BASE (CADETS PASS OUT)
Head of Technical and Service Support,1.40,08-Apr-2014,Travel,H-HQ
Head of Technical and Service Support,2.80,09-Apr-2014,Travel,HQ-H
Third Officer,5.46,09-Apr-2014,Travel,BASE - BHQ - LOC - BASE (RMC AND CONTROL VISIT)
Third Officer,2.94,17-Apr-2014,Travel,BASE - BHQ - MILL ROAD - BASE (EXERCISE TEAL VISIT)
Third Officer,5.04,22-Apr-2014,Travel,BASE - HAMMERSMITH FS - BASE (STATION VISIT)
Deputy Commissioner,12.60,22-Apr-2014,Travel,Home to Union Street for Evening appointment - Dinner for past Chairman Edward Lord OBE
Head of Operational Resilience,58.88,23-Apr-2014,Travel,"Bournemouth return
Event: Babcock Meeting"
Head of Operational Resilience,53.44,23-Apr-2014,Accommodation,"Royal Exeter Hotel Bournemouth B&B.
Event: Babcock Meeting"
Third Officer,0.70,26-Apr-2014,Travel,BASE - MILL ROAD - BASE (EXERCISE TEAL VISIT)
Head of Operational Assurance,1.68,26-Apr-2014,Travel,Base - Lee Green Fire Station (Starlight Foundation) - Base
Head of Technical and Service Support,36.40,28-Apr-2014,Travel,Home to office - April 2014
Head of Operational Assurance,61.88,29-Apr-2014,Travel,Home to office - April 2014
Director of Operational Resilience and Training,221.85,29-Apr-2014,Travel,Home to office - April 2014
Head of Operational Assurance,8.26,29-Apr-2014,Travel,Base - Heathrow (flight to Scotland for FRS Gold Command Meetings)
Head of Technical and Service Support,1.68,29-Apr-2014,Travel,H-HQ-Pullman Motors Lambeth
Commissioner,286.29,30-Apr-2014,Travel,This special allowance is in recognition of the on-call requirements placed upon the Commissioner and is in place of monthly mileage claims.
Head of Technical and Service Support,4.93,30-Apr-2014,Travel,Pullman motors-H on 29.4.14 &amp; H-HQ-H on 30.4.14. (form will not allow me to cliam 9 miles home on the 29.4 for some reason as it says there are later claims than this on the old car - which there are not).
Third Officer,46.48,30-Apr-2014,Travel,Home to office - April 2014
Head of Fire Safety,83.81,30-Apr-2014,Travel,Home to office - April 2014
Third Officer,3.36,01-May-2014,Travel,BASE - BHQ - ISLINGTON FS - BASE (STATION VISIT)
Head of Operational Assurance,8.26,01-May-2014,Travel,Heathrow - Base (return from Scottish Gold Command Meetings)
Third Officer,5.60,02-May-2014,Travel,BASE - LOC - BASE (STRIKE DAY)
Third Officer,5.60,03-May-2014,Travel,BASE - LOC - BASE (STRIKE DAY)
Director of Operational Resilience and Training,9.45,04-May-2014,Travel,BHQ-Feltham-Home (National Firefighters Strike)
Head of Strategy and Inclusion,42.50,07-May-2014,Travel Expense,Return train to Reading for meeting with Royal Berkshire to discuss cost recovery for section 13/16 attendances
Head of Strategy and Inclusion,9.20,07-May-2014,Travel Expense,Taxi from Reading station to Royal Berkshire headquarters for meeting to discuss cost recovery arrangements for section 13/16 attendances
Head of Operational Assurance,32.62,07-May-2014,Travel,Base - Devon (Wandsworth Presentation)
Third Officer,3.08,08-May-2014,Travel,BASE - BHQ - ZAMPA ROAD - BASE (BRIGADE FOOTBALL FINAL)
