 Batch Number,Vendor Name,Invoice Number, Line,Line Amount,Account Description,Issue Date ,Total Amount Paid
139393,THOMPSONS=====================,7813,2,"2,500.00",CLAIMANT COSTS AGREED,01/11/11,"2,500.00"
201011C,HAZLEMERE WINDOW CO.LTD,0000022589,1,"63,827.50",DEVELOPMENT EXP - CONTRACTORS,03/11/11,"63,827.50"
011111A,FAITHORN FARRELL TIMMS========,005020,1,"1,090.00",STRATEGIC (NON CYCLICAL),03/11/11,"1,090.00"
011111A,FAITHORN FARRELL TIMMS========,005196,1,450.00,STRATEGIC (NON CYCLICAL),03/11/11,"2,423.00"
011111A,FAITHORN FARRELL TIMMS========,005196,2,"1,973.00",STRATEGIC (NON CYCLICAL),03/11/11,
011111A,FAITHORN FARRELL TIMMS========,005386,1,"6,387.30",STRATEGIC (NON CYCLICAL),03/11/11,"6,387.30"
011111A,FAITHORN FARRELL TIMMS========,006060,1,"4,150.00",STRATEGIC (NON CYCLICAL),03/11/11,"4,815.52"
011111A,FAITHORN FARRELL TIMMS========,006060,2,665.52,STRATEGIC (NON CYCLICAL),03/11/11,
311011C,H J HALL & SON================,100614,1,656.21,UNIFORMS - POMS,03/11/11,656.21
281011G,*SPRUE SAFETY PRODUCTS LTD====,1022815,1,"1,264.00",FIRE DETECTORS,03/11/11,"1,264.00"
139393,MISS NATASHA JOFFE============,104009*,1,"1,000.00",COUNSELS FEES,03/11/11,"1,000.00"
171011C,A M SLASKI====================,1044,1,584.00,ASSESSMENTS,03/11/11,584.00
800004943,JAMES HUNTER (OUTFITTERS) LTD=,104653,1,480.00,UNIFORMS - POMS,03/11/11,840.00
800004943,JAMES HUNTER (OUTFITTERS) LTD=,104653,2,120.00,UNIFORMS - POMS,03/11/11,
800004943,JAMES HUNTER (OUTFITTERS) LTD=,104653,3,120.00,UNIFORMS - POMS,03/11/11,
800004943,JAMES HUNTER (OUTFITTERS) LTD=,104653,4,120.00,UNIFORMS - POMS,03/11/11,
181011A,ATKINS LIMITED================,11031674,1,"20,582.50",MAINTENANCE & SUPPORT,03/11/11,"20,582.50"
181011A,ATKINS LIMITED================,11031675,1,"21,743.00",MAINTENANCE & SUPPORT,03/11/11,"21,743.00"
311011A,GAS CONTROL EQUIPMENT LTD=====,11103402,1,875.00,TRAINING & CONFERENCES,03/11/11,875.00
311011A,GAS CONTROL EQUIPMENT LTD=====,11103403,1,875.00,TRAINING & CONFERENCES,03/11/11,875.00
181011A,BEAUMONT LTD.,1177,1,"5,285.76",STRATEGIC (CYCLICAL),03/11/11,"5,285.76"
181011A,BEAUMONT LTD.,1178,1,"4,571.47",STRATEGIC (CYCLICAL),03/11/11,"4,571.47"
271011C,RICHARD EDWARD LTD============,123716,1,"1,161.00",PRINTING,03/11/11,"1,161.00"
211011A,TAQA PROFESSIONAL DEVELOPMENT,1318,1,"3,300.00",TRAINING & CONFERENCES,03/11/11,"3,300.00"
311011A,RESPIREX======================,136186,1,"1,482.50",PROTECTIVE EQUIPT - PARTS,03/11/11,"1,482.50"
311011A,RESPIREX======================,136187,1,39.67,REPAIR & MAINTENANCE,03/11/11,602.77
311011A,RESPIREX======================,136187,2,21.67,REPAIR & MAINTENANCE,03/11/11,
311011A,RESPIREX======================,136187,3,48.67,REPAIR & MAINTENANCE,03/11/11,
311011A,RESPIREX======================,136187,4,255.74,REPAIR & MAINTENANCE,03/11/11,
311011A,RESPIREX======================,136187,5,237.02,REPAIR & MAINTENANCE,03/11/11,
281011C,H FINE & SON LTD==============,136541,1,950.00,GENERAL CONSUMABLES,03/11/11,950.00
261011A,AIRSERVICES(UK)===============,15086,1,715.00,REPAIR & MAINTENANCE,03/11/11,"1,114.00"
261011A,AIRSERVICES(UK)===============,15086,2,234.00,REPAIR & MAINTENANCE,03/11/11,
261011A,AIRSERVICES(UK)===============,15086,3,52.00,REPAIR & MAINTENANCE,03/11/11,
261011A,AIRSERVICES(UK)===============,15086,4,48.00,REPAIR & MAINTENANCE,03/11/11,
261011A,AIRSERVICES(UK)===============,15086,6,52.00,REPAIR & MAINTENANCE,03/11/11,
261011A,AIRSERVICES(UK)===============,15086,7,13.00,REPAIR & MAINTENANCE,03/11/11,
271011C,DRAIN CONTROL=================,17857,1,600.00,TACTICAL DAY TO DAY,03/11/11,600.00
141011C,GREATER LONDON AUTHORITY======,1800001949,1,"45,951.50",GENERAL,03/11/11,"45,951.50"
281011G,COMMUNITIES & LOCAL GOVERNMENT,1800016095,1,"94,738.98",RADIO,03/11/11,"94,738.98"
281011G,COMMUNITIES & LOCAL GOVERNMENT,1800016231,1,"9,055.00",RADIO,03/11/11,"105,654.52"
281011G,COMMUNITIES & LOCAL GOVERNMENT,1800016231,2,"96,599.52",RADIO,03/11/11,
311011A,ASIAN FIRE SERVICE ASSOCIATION,20,1,800.00,SUBSCRIPTIONS,03/11/11,800.00
191011F,PR ACADEMY,2160,1,995.00,TRAINING & CONFERENCES,03/11/11,995.00
271011C,DICKINSON DEES================,249111,1,405.00,PROFESSIONAL SERVICES,03/11/11,"1,884.90"
271011C,DICKINSON DEES================,249111,2,"1,479.90",PROFESSIONAL SERVICES,03/11/11,
800004829,ADECCO UK LIMITED=============,25779800,1,650.72,FRS STAFF AGENCY,03/11/11,650.72
800004830,ADECCO UK LIMITED=============,25779801,1,650.72,FRS STAFF AGENCY,03/11/11,650.72
800004737,ADECCO UK LIMITED=============,25783196,1,744.10,FRS STAFF AGENCY,03/11/11,744.10
800004996,ADECCO UK LIMITED=============,25789962,1,680.32,FRS STAFF AGENCY,03/11/11,680.32
800004997,ADECCO UK LIMITED=============,25789963,1,602.00,FRS STAFF AGENCY,03/11/11,602.00
800004998,ADECCO UK LIMITED=============,25789964,1,759.15,FRS STAFF AGENCY,03/11/11,759.15
800005002,ADECCO UK LIMITED=============,25789968,1,946.75,FRS STAFF AGENCY,03/11/11,946.75
800005005,ADECCO UK LIMITED=============,25789971,1,595.28,FRS STAFF AGENCY,03/11/11,595.28
800005006,ADECCO UK LIMITED=============,25789972,1,500.61,FRS STAFF AGENCY,03/11/11,500.61
800005008,ADECCO UK LIMITED=============,25789974,1,"1,971.00",FRS STAFF AGENCY,03/11/11,"1,971.00"
800005009,ADECCO UK LIMITED=============,25789975,1,749.70,FRS STAFF AGENCY,03/11/11,749.70
800005010,ADECCO UK LIMITED=============,25789976,1,528.39,FRS STAFF AGENCY,03/11/11,528.39
800005014,ADECCO UK LIMITED=============,25789980,1,530.95,FRS STAFF AGENCY,03/11/11,530.95
800005015,ADECCO UK LIMITED=============,25789981,1,530.95,FRS STAFF AGENCY,03/11/11,530.95
800005017,ADECCO UK LIMITED=============,25789983,1,602.00,FRS STAFF AGENCY,03/11/11,602.00
800005018,ADECCO UK LIMITED=============,25789984,1,"1,426.25",FRS STAFF AGENCY,03/11/11,"1,426.25"
800005022,ADECCO UK LIMITED=============,25789988,1,548.80,FRS STAFF AGENCY,03/11/11,548.80
800005023,ADECCO UK LIMITED=============,25789989,1,578.20,FRS STAFF AGENCY,03/11/11,578.20
800005026,ADECCO UK LIMITED=============,25789992,1,507.50,FRS STAFF AGENCY,03/11/11,507.50
