Job Title,Value of Offer,Date Received,Description of Offer,Donor/Provider,Outcome
Deputy Commissioner,75,01/04/2014,"Invitation to attend Dinner in honour of the past Chairman, Edward Lord Esq, OBE JP CC ","City of London , Marianne Fredericks CC, Chairman of the Licensing Committee of the City of London Corporation ",Offer accepted
Commissioner,"est, £50",10/04/2014,Invitation to attend a reception in support of Leonard Cheshire Disability Charity on Tuesday 20 May 2014,"Leonard Cheshire Disability, Samantha Cameron",Offer declined
Commissioner,"est, 150.00",10/04/2014,"Personal invite for 2 tickets to attend the Wimbledon Tennis Match in the Royal Box, including lunch and car parking on Friday 27 June 2014. ","All England Lawn Tennis Club, Chairman and Committee of Management of The Championships",Offer accepted
Commissioner,est 240.00,24/04/2014,Invitation to Ryder Cup Finals Day on 28th September 2014 including all day gourmet refreshments and one night accommodation. ,"Securitas, Brian Riis nielsen",Offer declined
Commissioner,est £50.00,29/04/2014,Invitation to Third Past Presidents' Dinner on 19th June 2014.,"Chief Fire Officers' Association, Tom Embury, CFOA Presidential Policy Advisor",Offer declined
Third Officer,£75,30/04/2014,Attend annual dinner on 13/06/14 and gift of a pair of brandy glasses engraved with the Association logo. ,"British Fire Service Association (London District), Graham Howgate",Offer accepted
Commissioner,est £30.00,08/05/2014,Invitation to attend the Gold Sponsor Champagne Reception prior to the Spirit of Fire Awards on 16th May 2014. ,"Firefighters Charity, John Parry, Chief Executive",Offer accepted
Third Officer,£198,16/05/2014,"Dinner and reception at Spirit of Fire awards, Park Plaza Hotel, Westminster Bridge. Cost £99 x 2 (me and my wife)","Sprue Aegis, James King",Offer accepted
Third Officer,£170,16/05/2014,"Hotel accomodation following Spirit of Fire awards, Park Plaza Hotel, Westminster Bridge","Sprue Aegis, James King",Offer accepted
Commissioner,est £70.00,20/05/2014,Worshipful Company of Firefighters annual black tie dinner on 11 November 2014.,"The Worshipful Company of Firefighters Charitable Trust, The Master and Officers of the Worshipful Company of Firefighters ",Offer declined
Commissioner,75,21/05/2014,"Invitation to attend the Securitas Community Awards 2014, including champagne reception, dinner and awards ceremony on 19 June.","Securitas, Shaun Kennedy",Offer declined
Head of Information and Communications Technology ,@ £ 50.00,22/05/2014,"I am delighted to invite you to a celebratory lunch on Thursday 19th June, 2014 at BT Tower, London.  In addition, as we’ll be in the throes of the FIFA World Cup at that time, we’re excited to be joined by VIP Guest, ex England FC Goalkeeper, Gordon Banks. ","BT, Rich Lowe",Offer declined
Commissioner,"est, 150.00",22/05/2014,Invitation to attend lunch at the show ground at RAF Fairford and to celebrate the Red Arrows 50th display season  on either Saturday 12 or Sunday 13 July 2014.,"KBR Infrastructure, Andrew Pringle President, KBR Infrastructure & Dick Applegate Chairman, Elbit Systems Uk",Offer declined
Commissioner,@£2500,27/05/2014,Invitation for a team of four to attend the oil and gas RAFT Clay Pigeon Shoot on 11th June 2014. This also includes full day refreshments and prize giving activities.,"RAFT, Laura Ripley, Fundraising Manager",Offer declined
Commissioner,est £25.00,28/05/2014,"A china plaque of the replicated painting ""Saved"" by Charles Vigor.","The Worshipful Company of Firefighters, Alan Wells, QFSM, FIFireE",Offer accepted
Commissioner,@90.00,03/06/2014,Guest invitation to the Cheltenham Cricket Festival for the Natwest t20 game on 18th July 2014.,"Fire Protection Association, Jon O'Neill, Managing Director",Offer declined
Head of Information and Communications Technology ,£50.00,06/06/2014,We are hosting a dinner prior to Cloud World Forum on 16th June and our CEO will be there plus Alys Woodward of IDC who will be sharing thoughts on the cloud content space.   It is intended to be a fun evening with the chance to network if you wish.  Dinner will be from 5:30pm at the award winning L’Atelier de Joel Robuchon (www.joelrobuchon.co.uk ) in Covent Garden. ,"Hightail, Mark Mua",Offer declined
Head of Strategy and Inclusion,est. £60,11/06/2014,Invitation to dinner to celebrate 150 anniversary of DNVGL,"DNVGL, Karen Dodds",Offer accepted
Commissioner,est £45.00,11/06/2014,Invitation to attend Tall Buildings conference Gala Dinner on 18th June 2014.,"Horizonscan Ltd, Russ Timpson, CEO",Offer declined
Director of Finance and Contractual Services,£50,17/06/2014,CIPFA's President’s dinner ,"CIPFA, CIPFA’s incoming President, Mike Owen",Offer declined
