Ordernumber,Vendor ID,Vendor name,Type,Line number,Part description,Unit cost,Order quantity,Line cost,Order date,Month,Centre ID,Centre name,Total order Cost (net) £
HAY/01469     ,20575,HAYS SPECIALIST RECRUITMENT,P,1,AGENCY WORKERS - FRS (HAYS)   EXTENSION PLACEMENT           ,17.21,455.00,"7,830.55",02/07/2018,Jul,Z21       ,TECHNICAL & SERVICE  SUPPORT HQ  - FM SERVICE DELIVERY      ,"7,830.55"
HAY/01470     ,20575,HAYS SPECIALIST RECRUITMENT,P,1,AGENCY WORKERS - FRS (HAYS)   EXTENSION PLACEMENT           ,17.73,420.00,"7,446.60",03/07/2018,Jul,M39       ,FSR - ADMIN SUPPORT TEAM (2 US)                             ,"7,446.60"
HAY/01472     ,20575,HAYS SPECIALIST RECRUITMENT,P,1,AGENCY WORKERS - FRS (HAYS)   EXTENSION PLACEMENT           ,17.73,315.00,"5,584.95",03/07/2018,Jul,G16       ,(NW) AREA PERFORMANCE & MONITORING TEAM - WEMBLEY           ,"5,584.95"
HAY/01473     ,20575,HAYS SPECIALIST RECRUITMENT,P,1,AGENCY WORKERS - FRS (HAYS)   EXTENSION PLACEMENT           ,17.73,315.00,"5,584.95",03/07/2018,Jul,G16       ,(NW) AREA PERFORMANCE & MONITORING TEAM - WEMBLEY           ,"5,584.95"
PSP/23586     ,19094,B NOKES CONTRACTS LTD,P,1,STONE TRANSFORM REPAIRS  - NEW CROSSS                       ,"8,354.00",1.00,"8,354.00",03/07/2018,Jul,E38       ,NEW CROSS FIRE STATION (E38)                                ,"8,354.00"
TSE/75945     ,11033,BT GLOBAL SERVICES,P,1,HARDWARE SUPPORT              (ICT)                         ,"6,280.75",1.00,"6,280.75",03/07/2018,Jul,B68       ,ICT - NETWORK GROUP                                         ,"12,561.50"
TSE/75945     ,11033,BT GLOBAL SERVICES,P,2,HARDWARE SUPPORT              (ICT)                         ,"6,280.75",1.00,"6,280.75",03/07/2018,Jul,B68       ,ICT - NETWORK GROUP                                         ,"12,561.50"
TSE/75962     ,18104,CARILLION COMMUNICATIONS LTD,P,1,"NON CATALOGUE - SERVICES, EXCLUDING PROPERTY SERVICES       ","6,150.00",1.00,"6,150.00",03/07/2018,Jul,B51       ,"ITD BUSINESS SOLUTIONS GROUP,  1ST FLOOR UNION STREET       ","6,150.00"
HAY/01476     ,20575,HAYS SPECIALIST RECRUITMENT,P,1,AGENCY WORKERS - FRS (HAYS)   EXTENSION PLACEMENT           ,17.38,315.00,"5,474.70",04/07/2018,Jul,B33       ,FINANCE DEPARTMENT MANAGEMENT & ADMIN                       ,"5,474.70"
TSE/75987     ,2861,FIRE SERVICE COLLEGE LTD,P,1,DEVELOPMENT & TRAINING -      LEARNING                      ,"6,994.44",1.00,"6,994.44",05/07/2018,Jul,TRADE     ,TRAINING DELIVERY                                           ,"6,994.44"
TSE/76005     ,18145,OXFORDSHIRE COUNTY COUNCIL,P,1,SECONDMENT FROM OTHER PARTNER ORGANISATIONS                 ,"6,326.96",1.00,"6,326.96",05/07/2018,Jul,R39       ,NOG - LEARNING                                              ,"6,326.96"
HAY/01478     ,20575,HAYS SPECIALIST RECRUITMENT,P,1,AGENCY WORKERS - FRS (HAYS)   EXTENSION PLACEMENT           ,17.73,420.00,"7,446.60",06/07/2018,Jul,M39       ,FSR - ADMIN SUPPORT TEAM (2 US)                             ,"7,446.60"
HAY/01479     ,20575,HAYS SPECIALIST RECRUITMENT,P,1,AGENCY WORKERS - FRS (HAYS)   EXTENSION PLACEMENT           ,17.73,420.00,"7,446.60",06/07/2018,Jul,M39       ,FSR - ADMIN SUPPORT TEAM (2 US)                             ,"7,446.60"
HAY/01480     ,20575,HAYS SPECIALIST RECRUITMENT,P,1,AGENCY WORKERS - FRS (HAYS)   EXTENSION PLACEMENT           ,17.73,420.00,"7,446.60",06/07/2018,Jul,M39       ,FSR - ADMIN SUPPORT TEAM (2 US)                             ,"7,446.60"
PSP/23596     ,19094,B NOKES CONTRACTS LTD,P,1,ELECTRICAL WORKS TO STORE CONTAINER  - BARKING FS           ,"5,114.00",1.00,"5,114.00",06/07/2018,Jul,F43       ,BARKING FIRE STATION (F43)                                  ,"5,114.00"
PSP/23597     ,19094,B NOKES CONTRACTS LTD,P,1,VARIOUS REFURBISHMENT WORKS  - LAMBETH FS                   ,"5,270.80",1.00,"5,270.80",06/07/2018,Jul,E44       ,LAMBETH FIRE STATION (E44)                                  ,"5,270.80"
PSP/23600     ,18241,REAM CONTRACTS LTD,P,1,HEATER REPLACEMENT - LEYTON FS                              ,"6,348.07",1.00,"6,348.07",06/07/2018,Jul,F29       ,LEYTON FIRE STATION (F29)                                   ,"6,348.07"
TSE/76027     ,6119,CITY UNIVERSITY,P,1,EYE TEST COSTS -              CITY UNIVERSITY               ,"7,260.00",1.00,"7,260.00",06/07/2018,Jul,PSWEL     ,PEOPLE SERVICES - WELLBEING                                 ,"7,260.00"
HAY/01482     ,20575,HAYS SPECIALIST RECRUITMENT,P,1,AGENCY WORKERS - FRS (HAYS)   EXTENSION PLACEMENT           ,17.73,420.00,"7,446.60",09/07/2018,Jul,M39       ,FSR - ADMIN SUPPORT TEAM (2 US)                             ,"7,446.60"
HAY/01483     ,20575,HAYS SPECIALIST RECRUITMENT,P,1,AGENCY WORKERS - FRS (HAYS)   EXTENSION PLACEMENT           ,17.73,420.00,"7,446.60",09/07/2018,Jul,M39       ,FSR - ADMIN SUPPORT TEAM (2 US)                             ,"7,446.60"
HAY/01484     ,20575,HAYS SPECIALIST RECRUITMENT,P,1,AGENCY WORKERS - FRS (HAYS)   EXTENSION PLACEMENT           ,17.73,406.00,"7,198.38",10/07/2018,Jul,A18F      ,(SW) PERFORMANCE & MONITORING - HAMMERSMITH 4TH FLOOR       ,"7,198.38"
HAY/01485     ,20575,HAYS SPECIALIST RECRUITMENT,P,1,AGENCY WORKERS - FRS (HAYS)   EXTENSION PLACEMENT           ,21.11,301.00,"6,354.11",10/07/2018,Jul,HRPIG     ,ORGANISATIONAL DEVELOPMENT (DTOD)                           ,"6,354.11"
PSP/23620     ,15207,PILLINGER CONTROLS LTD,P,1,BEMS EQUIPMENT UPDATE - NORBURY FS                          ,"5,702.58",1.00,"5,702.58",10/07/2018,Jul,E52       ,NORBURY FIRE STATION (E52)                                  ,"5,702.58"
PSP/23631     ,19094,B NOKES CONTRACTS LTD,P,1,CONCRETE PROTECTION MEASURES - LAMBETH FS                   ,"8,312.50",1.00,"8,312.50",11/07/2018,Jul,E44       ,LAMBETH FIRE STATION (E44)                                  ,"8,312.50"
PSP/23638     ,18387,FAHEY BUILDERS LTD,P,1,BRICK WORK REPAIR - SIDCUP FS                               ,"6,424.00",1.00,"6,424.00",11/07/2018,Jul,E40       ,SIDCUP FIRE STATION (E40)                                   ,"6,424.00"
HAY/01487     ,20575,HAYS SPECIALIST RECRUITMENT,P,1,AGENCY WORKERS - FRS (HAYS)   INITIAL PLACEMENT             ,17.74,427.00,"7,574.98",12/07/2018,Jul,A18A      ,(SW) CFS TEAM - HAMMERSMITH                                 ,"7,574.98"
HAY/01489     ,20575,HAYS SPECIALIST RECRUITMENT,P,1,AGENCY WORKERS - FRS (HAYS)   INITIAL PLACEMENT             ,17.74,350.00,"6,209.00",12/07/2018,Jul,HRRSSB    ,HR - OPERATIONS-ASSESSMENT CENTRE HAMMERSMITH               ,"6,209.00"
TSE/76141     ,21073,RIVO SOFTWARE LIMITED,P,1,SOFTWARE LICENCES             (ICT)                         ,"8,605.50",1.00,"8,605.50",12/07/2018,Jul,B64       ,ICT - TECHNICAL PROJECTS                                    ,"8,605.50"
TSE/76156     ,14346,MERSEYSIDE FCDA,P,1,SECONDMENT FROM OTHER PARTNER ORGANISATIONS                 ,"9,795.59",1.00,"9,795.59",12/07/2018,Jul,R48       ,NOG - NATIONAL RESILLIENCE                                  ,"9,795.59"
TSE/76171     ,20868,MARLOW ROPES LTD,P,1,NON CATALOGUE - OPERATIONAL EQUIPMENT                       ,"6,650.00",1.00,"6,650.00",12/07/2018,Jul,D61       ,FIRE STATION & AREA MANAGEMENT                              ,"6,650.00"
PSP/23647     ,15207,PILLINGER CONTROLS LTD,P,1,APPLIANCE BAY HEATING BMS UPDATE - WHITECHAPEL FS           ,1.00,"6,267.00","6,267.00",13/07/2018,Jul,F33       ,WHITECHAPEL FIRE STATION (F33)                              ,"6,267.00"
TSE/76187     ,21373,RESOLUTION TELEVISION LIMTED,P,1,"NON CATALOGUE - SERVICES, EXCLUDING PROPERTY SERVICES       ","7,200.00",1.00,"7,200.00",13/07/2018,Jul,TRASU     ,TRAINING ASSURANCE                                          ,"7,200.00"
TSE/76238     ,10026,PHOENIX SOFTWARE LTD,P,1,SOFTWARE LICENCES             (ICT)                         ,735.12,8.00,"5,880.96",17/07/2018,Jul,B66       ,ICT - SERVER & CLOUD                                        ,"5,880.96"
PGS/10927     ,2552,DRAEGER SAFETY UK LIMITED,P,1,BATTERY PACK NIMH (MERLIN)    PG7518                        ,114.07,60.00,"6,844.20",18/07/2018,Jul,Z82       ,PEG CROYDON GENERAL PURCHASING                              ,"6,844.20"
PSP/23667     ,3176,G4S FIRE & SECURITY SYSTEMS UK,P,1,INSTALL NEW SOFTWARE TO CARD ACCESS SYSTEM - UNION ST       ,"7,810.18",1.00,"7,810.18",18/07/2018,Jul,Z13       ,PROPERTY SERVICES MANAGEMENT & ADMIN                        ,"7,810.18"
PSP/23670     ,18387,FAHEY BUILDERS LTD,P,1,WINDOW REPAIR - TOTTENHAM FS                                ,"7,300.00",1.00,"7,300.00",18/07/2018,Jul,F53       ,TOTTENHAM FIRE STATION (F53)                                ,"7,300.00"
HAY/01494     ,20575,HAYS SPECIALIST RECRUITMENT,P,1,AGENCY WORKERS - FRS (HAYS)   INITIAL PLACEMENT             ,17.74,385.00,"6,829.90",19/07/2018,Jul,M39       ,FSR - ADMIN SUPPORT TEAM (2 US)                             ,"6,829.90"
HAY/01496     ,20575,HAYS SPECIALIST RECRUITMENT,P,1,AGENCY WORKERS - FRS (HAYS)   INITIAL PLACEMENT             ,17.74,385.00,"6,829.90",19/07/2018,Jul,M39       ,FSR - ADMIN SUPPORT TEAM (2 US)                             ,"6,829.90"
PSP/23678     ,18387,FAHEY BUILDERS LTD,P,1,INSTALL DRILL TOWER GATES - SIDCUP FS                       ,"9,470.00",1.00,"9,470.00",19/07/2018,Jul,E40       ,SIDCUP FIRE STATION (E40)                                   ,"9,470.00"
TSE/76284     ,2861,FIRE SERVICE COLLEGE LTD,P,1,CONFERENCE HIRE OF FACILITIES                               ,"5,580.00",1.00,"5,580.00",20/07/2018,Jul,M37       ,INTER OPERABILITY SFE - 2 UNION STREET                      ,"5,580.00"
TSE/76288     ,11884,ATOS IT SERVICES UK LIMITED,P,1,TELEPHONY SUPPORT             (ICT)                         ,"9,486.00",1.00,"9,486.00",20/07/2018,Jul,B61       ,ICT - SERVICE MANAGEMENT                                    ,"18,972.00"
TSE/76288     ,11884,ATOS IT SERVICES UK LIMITED,P,2,TELEPHONY SUPPORT             (ICT)                         ,"9,486.00",1.00,"9,486.00",20/07/2018,Jul,B61       ,ICT - SERVICE MANAGEMENT                                    ,"18,972.00"
TSE/76293     ,6119,CITY UNIVERSITY,P,1,EYE TEST COSTS -              CITY UNIVERSITY               ,"7,500.00",1.00,"7,500.00",20/07/2018,Jul,PSWEL     ,PEOPLE SERVICES - WELLBEING                                 ,"7,500.00"
HAY/01501     ,20575,HAYS SPECIALIST RECRUITMENT,P,1,AGENCY WORKERS - FRS (HAYS)   INITIAL PLACEMENT             ,17.22,427.00,"7,352.94",23/07/2018,Jul,HRRSSB    ,HR - OPERATIONS-ASSESSMENT CENTRE HAMMERSMITH               ,"7,352.94"
HAY/01507     ,20575,HAYS SPECIALIST RECRUITMENT,P,1,AGENCY WORKERS - FRS (HAYS)   BACK PAYMENTS                 ,44.10,140.00,"6,174.00",23/07/2018,Jul,R67       ,LEGAL SERVICES - LITIGATION SERVICES                        ,"6,174.00"
HAY/01511     ,20575,HAYS SPECIALIST RECRUITMENT,P,1,AGENCY WORKERS - FRS (HAYS)   BACK PAYMENTS                 ,404.03,20.00,"8,080.60",23/07/2018,Jul,R25       ,CPO - PORTFOLIO OFFICE                                      ,"8,080.60"
HAY/01514     ,20575,HAYS SPECIALIST RECRUITMENT,P,1,AGENCY WORKERS - FRS (HAYS)   BACK PAYMENTS                 ,17.96,280.00,"5,028.80",23/07/2018,Jul,R94       ,IMD - INFORMATION MANAGEMENT DEPARTMENT                     ,"5,028.80"
HAY/01518     ,20575,HAYS SPECIALIST RECRUITMENT,P,1,AGENCY WORKERS - FRS (HAYS)   BACK PAYMENTS                 ,24.51,280.00,"6,862.80",23/07/2018,Jul,M29       ,FSR - MANAGEMENT GROUP (2 US)                               ,"6,862.80"
