Job Title,Value of Offer,Date Received,Description of Offer,Donor/Provider,Outcome
Commissioner,est £30.00,01/04/2015,Invitation to London's Air Ambulance reception on 9th June 2015 at The Grosvenor Office in recognition of their achievements. ,"London's Air Ambulance, Graham Hodgkin, Chief Executive Officer",Offer declined
Director of Operations,£30,01/04/2015,To celebrate and reflect on all that has been achieved by the LAS in regard to saving lives.,"London Air Ambulance, Graham Hodgkin on behalf of The Duke of Westminster and the Westminster Foundation",Offer accepted
Commissioner,est £150.00,13/04/2015,"Personal invite for two tickets to attend the Wimbledon Tennis match in the Royal box, including lunch and car parking on 3 July 2015.","The All England Lawn Tennis Club, The Chairman and Committee of Management of the Championships",Offer accepted
Commissioner,@£168.60 per person,14/04/2015,"The Securitas Community awards ceremony at the Marriott Forest of Arden in Warwickshire on Monday 15th June 2015.   This hospitality accommodates one night bed & breakfast at Forest of Arden, the Champagne reception with canapés and the Awards ceremony and dinner. ","Securitas , Amanda Dempsey, Community Awards Team & Executive Assistant to Country President",Offer accepted
Commissioner,@£200.00,15/04/2015,Personal invitation for Commissioner and guest (Mrs Dobson) to attend the Neil Diamond concert at The O2 on 16 July 2015 in the BMW Hospitality Suite. The cost of this hospitality includes concert admission and refreshments on the night at approximately £100.00 per person. ,"BMW Park Lane, Mark Worthington, Managing Director",Offer accepted
Commissioner,£100,17/04/2015,The Fire Service Sports & Athletics Association (FSSAA) Annual Dinner on 2nd July 2015. The costs of accommodation and dinner are being covered by Capita at £100.00 per person - accommodation not required.,"Capita, Sean Comerford, Honorary General Secretary of FSSAA",Offer declined
Director of Finance and Contractual Services,£50,30/04/2015,Dinner at the BT Tower ,"BT Global Services, Joseph Butler, Accounts Manager ",Offer declined
Commissioner,est £65.00,12/05/2015,"A Korean Lacquerware inlaid with Mother-of-Pearl card holder and letter opener, a Korean fire service button badge and a Korean fire service wooden plaque of a firefighter's prayer. ","Seoul (Korea) Metropolitan Fire Service, Chief Fire Officer",Offer accepted
Commissioner,@£100.00,26/05/2015,"International Institution of Fire Engineers (IFE) Board dinner on 15 July, during a two-day conference for the IFE Board. ","NAFFCO (UAE), NAFFCO",Offer accepted
Director of Finance and Contractual Services,£50,04/06/2015,The Chemistry Club Summer Reception,"The Chemistry Club , Chris Blackett, Manager Guest RELATIONS ",Offer declined
