 Batch Number,Vendor Name,Invoice Number, Line,Line Amount,Account Description,Issue Date ,Total Amount Paid,Department,Proclass
210815H,HEALTH MANAGEMENT LIMITED=====,0000135183,1,"100,532.30",OHS CONTRACT,01/09/15,"100,532.30",HR Management,Healthcare
140815M,NORTHERN DIVER (INTERNATIONAL),0000162874,1,30.00,OPERATIONAL EQUIP-PURCHASE,01/09/15,830.00,Technical And Service Support,Fire & Rescue
140815M,NORTHERN DIVER (INTERNATIONAL),0000162874,2,55.00,OPERATIONAL EQUIP-PURCHASE,01/09/15,,Technical And Service Support,Fire & Rescue
140815M,NORTHERN DIVER (INTERNATIONAL),0000162874,3,140.00,OPERATIONAL EQUIP-PURCHASE,01/09/15,,Technical And Service Support,Fire & Rescue
140815M,NORTHERN DIVER (INTERNATIONAL),0000162874,4,140.00,OPERATIONAL EQUIP-PURCHASE,01/09/15,,Technical And Service Support,Fire & Rescue
140815M,NORTHERN DIVER (INTERNATIONAL),0000162874,5,140.00,OPERATIONAL EQUIP-PURCHASE,01/09/15,,Technical And Service Support,Fire & Rescue
140815M,NORTHERN DIVER (INTERNATIONAL),0000162874,6,55.00,OPERATIONAL EQUIP-PURCHASE,01/09/15,,Technical And Service Support,Fire & Rescue
140815M,NORTHERN DIVER (INTERNATIONAL),0000162874,7,115.00,OPERATIONAL EQUIP-PURCHASE,01/09/15,,Technical And Service Support,Fire & Rescue
140815M,NORTHERN DIVER (INTERNATIONAL),0000162874,8,25.00,OPERATIONAL EQUIP-PURCHASE,01/09/15,,Technical And Service Support,Fire & Rescue
140815M,NORTHERN DIVER (INTERNATIONAL),0000162874,9,115.00,OPERATIONAL EQUIP-PURCHASE,01/09/15,,Technical And Service Support,Fire & Rescue
140815M,NORTHERN DIVER (INTERNATIONAL),0000162874,10,15.00,OPERATIONAL EQUIP-PURCHASE,01/09/15,,Technical And Service Support,Fire & Rescue
260815H,STEELCASE SOLUTIONS===========,0050144,1,617.35,OFFICE FURNITURE,01/09/15,617.35,Operational Directorates Support Group,Furniture
260815H,STEELCASE SOLUTIONS===========,0050145,1,617.35,OFFICE FURNITURE,01/09/15,617.35,Technical And Service Support,Furniture
800065261,*JAMES HUNTER (OUTFITTERS) LTD,108283,1,293.13,CLOTHING,01/09/15,293.13,Operations Fire Stations,Clothing
250815M,CORE IMS LTD==================,15/258,1,"1,936.00",CONSULTANTS,01/09/15,"1,936.00",HR Management,Human Resources
