Ordernumber,Vendor ID,Vendor name,Type,Line number,Part description,Unit cost,Order quantity,Line cost,Order date,Month,Centre ID,Centre name,Total order Cost (net) £
HAY/01709     ,20575,HAYS SPECIALIST RECRUITMENT,P,1,AGENCY WORKERS - FRS (HAYS)   EXTENSION PLACEMENT           ,20.51,420,8614.2,01/10/2018,Oct,M41I      ,ESTABLISHMENT AND PERFORMANCE TEAM - STRATFORD              ,8614.2
PSP/23927     ,19780,MOOLANDS LTD,P,1,INVESTIGATE AND REPAIR WATER LEAK - WEST NORWOOD FS         ,8950.85,1,8950.85,01/10/2018,Oct,E51       ,WEST NORWOOD FIRE STATION (E51)                             ,8950.85
TSE/77754     ,16534,MAYORS OFF FOR POLICING&CRIME,P,1,MARINE TRAINING VESSEL CHARTERFEES - MET POLICE             ,9000,1,9000,01/10/2018,Oct,TRADE     ,TRAINING DELIVERY                                           ,9000
HAY/01713     ,20575,HAYS SPECIALIST RECRUITMENT,P,1,AGENCY WORKERS - FRS (HAYS)   INITIAL PLACEMENT             ,18.01,420,7564.2,02/10/2018,Oct,Z84A      ,PROCUREMENT - BRIGADE DISTRIBUTION CENTRE                   ,7564.2
PSP/23930     ,18241,REAM CONTRACTS LTD,P,1,REMOVE/REPLACE FAULTY HOT WATER HEATER - STOKE NEWINGTON FS ,7695.65,1,7695.65,02/10/2018,Oct,F32       ,STOKE NEWINGTON FIRE STATION (F32)                          ,7695.65
PSP/23931     ,5808,SURREY BLIND & CURTAIN CO,P,1,SUPPLY/FIT BLINDS/CURTAINS - ADDINGTON FS                   ,5043,1,5043,02/10/2018,Oct,E63       ,ADDINGTON FIRE STATION (E63)                                ,5043
PSP/23935     ,15207,PILLINGER CONTROLS LTD,P,1,BEMS EQUIPMENT UPGRADE - WILLESDEN FS                       ,1,6017,6017,02/10/2018,Oct,G28       ,WILLESDEN FIRE STATION (G28)                                ,6017
HAY/01715     ,20575,HAYS SPECIALIST RECRUITMENT,P,1,AGENCY WORKERS - FRS (HAYS)   EXTENSION PLACEMENT           ,24.53,280,6868.4,03/10/2018,Oct,M24       ,FSR - AUDIT & PERFORMANCE (2 US)                            ,6868.4
HAY/01716     ,20575,HAYS SPECIALIST RECRUITMENT,P,1,AGENCY WORKERS - FRS (HAYS)   INITIAL PLACEMENT             ,17.74,420,7450.8,03/10/2018,Oct,PSWEL     ,PEOPLE SERVICES - WELLBEING                                 ,7450.8
ITS/14637     ,17641,SILVERSANDS LIMITED,P,1,SOFTWARE DEVELOPMENT - BESPOKE(ICT)                         ,7662,1,7662,03/10/2018,Oct,B51       ,"ITD BUSINESS SOLUTIONS GROUP,  1ST FLOOR UNION STREET       ",7662
